volume,vw,open,close,high,low,date,n
6869.0,171.7022,172.02,171.83,172.02,171.42,2024-04-01 08:00:00,264
1258.0,171.6552,171.66,171.67,171.67,171.65,2024-04-01 08:10:00,75
1341.0,171.746,171.76,171.74,171.77,171.73,2024-04-01 08:15:00,37
2019.0,171.7439,171.75,171.71,171.75,171.71,2024-04-01 08:25:00,66
1117.0,171.7284,171.72,171.72,171.72,171.72,2024-04-01 08:35:00,40
604.0,171.7002,171.71,171.7,171.71,171.7,2024-04-01 08:40:00,34
598.0,171.6623,171.7,171.65,171.7,171.65,2024-04-01 08:45:00,30
2256.0,171.6858,171.69,171.7,171.7,171.69,2024-04-01 08:50:00,46
1873.0,171.7379,171.75,171.7,171.75,171.7,2024-04-01 08:55:00,48
356.0,171.717,171.71,171.71,171.71,171.71,2024-04-01 09:00:00,14
4619.0,171.7913,171.78,171.8,171.8,171.78,2024-04-01 09:05:00,100
340.0,171.8547,171.85,171.85,171.85,171.85,2024-04-01 09:10:00,11
1135.0,171.8529,171.85,171.85,171.85,171.85,2024-04-01 09:15:00,35
271.0,171.8507,171.85,171.85,171.85,171.85,2024-04-01 09:20:00,7
1140.0,171.8504,171.85,171.85,171.85,171.85,2024-04-01 09:25:00,24
359.0,171.8989,171.9,171.9,171.9,171.9,2024-04-01 09:30:00,8
1401.0,171.7758,171.83,171.75,171.83,171.75,2024-04-01 09:35:00,75
739.0,171.7609,171.76,171.76,171.76,171.76,2024-04-01 09:40:00,17
516.0,171.7505,171.75,171.75,171.75,171.75,2024-04-01 09:50:00,23
466.0,171.8301,171.83,171.83,171.83,171.83,2024-04-01 10:05:00,20
1778.0,171.7975,171.8,171.79,171.8,171.79,2024-04-01 10:20:00,61
3283.0,171.6087,171.7,171.56,171.7,171.54,2024-04-01 10:30:00,130
517.0,171.6043,171.63,171.58,171.63,171.58,2024-04-01 10:35:00,27
475.0,171.6865,171.7,171.7,171.7,171.7,2024-04-01 10:45:00,21
1665.0,171.545,171.6,171.5,171.6,171.5,2024-04-01 10:55:00,52
7875.0,171.584,171.5,171.58,171.6,171.5,2024-04-01 11:00:00,168
3437.0,171.5802,171.6,171.56,171.61,171.55,2024-04-01 11:05:00,104
12027.0,171.4756,171.56,171.41,171.6,171.4,2024-04-01 11:10:00,393
2276.0,171.476,171.4,171.5,171.5,171.4,2024-04-01 11:15:00,72
629.0,171.4813,171.47,171.47,171.47,171.47,2024-04-01 11:20:00,43
1510.0,171.4868,171.49,171.48,171.5,171.48,2024-04-01 11:25:00,38
2734.0,171.3959,171.45,171.38,171.45,171.38,2024-04-01 11:30:00,105
5696.0,171.4551,171.4,171.5,171.5,171.4,2024-04-01 11:35:00,92
567.0,171.5151,171.51,171.51,171.51,171.51,2024-04-01 11:40:00,14
2428.0,171.5532,171.54,171.55,171.55,171.54,2024-04-01 11:45:00,43
749.0,171.5781,171.58,171.58,171.58,171.58,2024-04-01 11:55:00,33
59607.0,171.5634,171.57,171.8,171.98,171.37,2024-04-01 12:00:00,2138
16673.0,171.6309,171.6,171.54,171.99,171.47,2024-04-01 12:05:00,916
6843.0,171.4363,171.45,171.54,171.54,171.4,2024-04-01 12:10:00,225
2375.0,171.5125,171.5508,171.5,171.5508,171.5,2024-04-01 12:15:00,96
5264.0,171.4698,171.5,171.45,171.5451,171.4138,2024-04-01 12:20:00,187
6347.0,171.4399,171.41,171.48,171.48,171.41,2024-04-01 12:25:00,197
10284.0,171.4147,171.44,171.38,171.46,171.3637,2024-04-01 12:30:00,305
8432.0,171.4301,171.36,171.48,171.5,171.36,2024-04-01 12:35:00,606
6007.0,171.5467,171.46,171.5024,171.6,171.46,2024-04-01 12:40:00,200
5315.0,171.5737,171.5003,171.61,171.61,171.5003,2024-04-01 12:45:00,117
8098.0,171.6497,171.6201,171.55,171.7,171.55,2024-04-01 12:50:00,289
4800.0,171.5468,171.56,171.5005,171.5991,171.5005,2024-04-01 12:55:00,181
6039.0,171.4065,171.49,171.43,171.49,171.37,2024-04-01 13:00:00,358
7205.0,171.413,171.4002,171.4,171.4461,171.4,2024-04-01 13:05:00,255
12393.0,171.3917,171.43,171.3,171.45,171.3,2024-04-01 13:10:00,586
24218.0,171.1618,171.35,171.12,171.35,171.08,2024-04-01 13:15:00,923
9151.0,171.1664,171.18,171.19,171.2699,171.08,2024-04-01 13:20:00,320
84020.0,171.0023,171.1,171.09,171.2,170.8,2024-04-01 13:25:00,1766
2160130.0,170.8148,171.19,170.74,171.25,170.23,2024-04-01 13:30:00,32844
963283.0,170.847,170.735,170.66,171.0897,170.62,2024-04-01 13:35:00,12737
982760.0,170.4361,170.66,170.36,170.7,170.25,2024-04-01 13:40:00,13371
